,cipbeta0_S1,cipbeta0none_S3,cipbeta0_S2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Rheinheimera,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Nitrosococcus|Nitrosococcus oceani,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Thiodictyon|Candidatus Thiodictyon syntrophicum,0,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Spiribacter|Spiribacter sp. 2438,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Spiribacter|Spiribacter roseus,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Thioalkalivibrio|Thioalkalivibrio versutus,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Thioalkalivibrio|Thioalkalivibrio sulfidiphilus,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Acidihalobacter|Acidihalobacter prosperus,0,2,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae,0,2,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Methylophaga|Methylophaga nitratireducenticrescens,0,2,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Thiomicrorhabdus|Thiomicrorhabdus indica,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella|Francisella persica,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|NA|endosymbiont of Euscepes postfasciatus,0,2,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|NA|Calyptogena okutanii thioautotrophic gill symbiont,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Sedimenticola|Sedimenticola thiotaurini,0,1,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella waltersii,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella anisa,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella fallonii,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella oakridgensis,0,1,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Coxiellaceae|Aquicella|Aquicella lusitana,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales,0,2,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Microbulbiferaceae|Microbulbifer|Microbulbifer sp. GL-2,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Microbulbiferaceae|Microbulbifer|Microbulbifer sp. ALW1,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Halieaceae|Halioglobus|Halioglobus japonicus,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Halieaceae|Kineobactrum|Kineobactrum sp. M2,0,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae,0,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae|Methylomonas|Methylomonas sp. DH-1,0,2,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae|Methylococcus|Methylococcus capsulatus,0,4,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium|Cardiobacterium hominis,0,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Acidiferrobacterales|Acidiferrobacteraceae|Acidiferrobacter|Acidiferrobacter sp. SPIII_3,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia multivorans,0,4,2
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia stagnalis,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia vietnamiensis,0,0,20
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia contaminans,0,1,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia sp. LA-2-3-30-S1-D2,0,0,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia sp. KK1,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia glumae,0,1,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia plantarii,0,2,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Cupriavidus,0,1,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Cupriavidus|Cupriavidus pauculus,0,1,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Cupriavidus|Cupriavidus gilardii,0,0,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Paraburkholderia,0,0,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Paraburkholderia|Paraburkholderia terricola,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Paraburkholderia|Paraburkholderia sp. 7Q-K02,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Paraburkholderia|Paraburkholderia sp. Msb3,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Ralstonia,0,2,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Pandoraea|Pandoraea faecigallinarum,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Pandoraea|Pandoraea pnomenusa,0,0,12
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Pandoraea|Pandoraea pulmonicola,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Polynucleobacter|Polynucleobacter wuianus,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae,0,0,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella|Bordetella genomosp. 8,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella|Bordetella petrii,0,0,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella|Bordetella flabilis,0,1,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella|Bordetella parapertussis,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella|Bordetella pseudohinzii,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella|Bordetella genomosp. 9,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella|Bordetella sp. HZ20,0,0,6
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Achromobacter|Achromobacter sp. MFA1 R4,0,1,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|NA|Alcaligenaceae bacterium SJ-26,0,0,2
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Pigmentiphaga|Pigmentiphaga sp. H8,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Variovorax|Variovorax boronicumulans,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Candidatus Symbiobacter|Candidatus Symbiobacter mobilis,0,13,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax|Acidovorax sp. KKS102,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax|Acidovorax sp. RAC01,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Hydrogenophaga|Hydrogenophaga sp. PBC,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Hydrogenophaga|Hydrogenophaga sp. BPS33,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Hydrogenophaga|Hydrogenophaga crassostreae,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Simplicispira|Simplicispira suum,0,0,23
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Rhodoferax|Rhodoferax saidenbachensis,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Ramlibacter|Ramlibacter tataouinensis,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Polaromonas|Polaromonas naphthalenivorans,0,1,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Delftia|Delftia tsuruhatensis,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Ottowia|Ottowia sp. oral taxon 894,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|NA|Rhizobacter|Rhizobacter gummiphilus,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|NA|Leptothrix|Leptothrix cholodnii,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|NA|Rubrivivax|Rubrivivax gelatinosus,0,0,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|NA|Xylophilus|Xylophilus sp. KACC 21265,0,1,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|NA|Aquabacterium|Aquabacterium olei,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae,0,5,4
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Massilia,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Massilia|Massilia plicata,0,9,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Massilia|Massilia violaceinigra,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Collimonas|Collimonas fungivorans,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Janthinobacterium|Janthinobacterium sp. Marseille,0,0,6
Bacteria|NA|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Sterolibacteriaceae|NA|Sterolibacteriaceae bacterium M52,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Sterolibacteriaceae|Sterolibacterium|Sterolibacterium denitrificans,0,729,10
Bacteria|NA|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Nitrosomonadaceae|Nitrosomonas|Nitrosomonas communis,0,0,3
Bacteria|NA|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Nitrosomonadaceae|Nitrosospira|Nitrosospira lacus,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Thiobacillaceae|Sulfuritortus|Sulfuritortus calidifontis,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Chromobacterium|Chromobacterium sp. ATCC 53434,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Chromobacterium|Chromobacterium sp. IIBBL 112-1,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Aquitalea,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria brasiliensis,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria canis,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Rhodocyclales|Zoogloeaceae|Azoarcus|Azoarcus sp. SY39,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Rhodocyclales|Zoogloeaceae|Azoarcus|Azoarcus sp. CIB,0,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Rhodocyclales|Rhodocyclaceae|Aromatoleum|Aromatoleum aromaticum,0,1,30
Bacteria|NA|Proteobacteria|Betaproteobacteria|NA|Casimicrobiaceae|Casimicrobium|Casimicrobium huifangae,0,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium,0,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium|Agrobacterium sp. T29,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium|Agrobacterium sp. MA01,0,2,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium|Agrobacterium fabrum,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium sp. WL3,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium sp. 11515TR,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium favelukesii,0,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Sinorhizobium|Sinorhizobium sp. RAC02,0,2,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium,0,1,3
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. DCY119,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. Pch-S,0,5,7
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1,0,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1,0,1,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium soli,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium loti,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium opportunistum,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Nitratireductor|Nitratireductor sp. OM-1,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium sp. 6(2017),0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium lablabi,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bosea|Bosea sp. F3-2,0,1,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bosea|Bosea vaviloviae,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Oligotropha|Oligotropha carboxidovorans,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylobacterium|Methylobacterium sp. 4-46,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylobacterium|Methylobacterium currus,0,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylorubrum|Methylorubrum populi,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Microvirga|Microvirga ossetica,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Devosia|Devosia ginsengisoli,0,0,6
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Hyphomicrobium|Hyphomicrobium denitrificans,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|NA|Hartmannibacter|Hartmannibacter diazotrophicus,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|NA|NA|Rhizobiales bacterium PAMC 29148,0,1,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|NA|Candidatus Hodgkinia|Candidatus Hodgkinia cicadicola,0,2,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylocystaceae|Methylocystis|Methylocystis heyeri,0,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bartonellaceae|Bartonella|Bartonella sp. OE 1-1,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus denitrificans,0,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus contaminans,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Celeribacter|Celeribacter ethanolicus,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Sulfitobacter|Sulfitobacter donghicola,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Leisingera,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Ruegeria|Ruegeria sp. THAF33,0,0,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Labrenzia|Labrenzia sp. PHM005,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Pelagibaca|Pelagibaca abyssi,0,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Salipiger|Salipiger profundus,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|NA|Rhodobacteraceae bacterium QY30,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Rhodobaca|Rhodobaca barguzinensis,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Tabrizicola|Tabrizicola sp. K13M18,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Phaeobacter|Phaeobacter gallaeciensis,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Hyphomonas|Hyphomonas sp. Mor2,0,0,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Hyphomonas|Hyphomonas sp. CACIAM 19H1,0,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingobium|Sphingobium baderi,0,9,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingobium|Sphingobium sp. SCG-1,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sp. LM7,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sp. HKS19,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sp. Cra20,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas koreensis,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas paucimobilis,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sanxanigenens,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingopyxis|Sphingopyxis sp. EG6,0,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium sp. ABRDHK2,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingosinicella|Sphingosinicella sp. BN140058,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingosinithalassobacter|Sphingosinithalassobacter sp. zrk23,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter|Altererythrobacter namhicola,0,2,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae,0,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Niveispirillum|Niveispirillum cyanobacteriorum,0,0,3
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Azospirillum|Azospirillum sp. TSH58,0,0,5
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Skermanella|Skermanella pratensis,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Indioceanicola|Indioceanicola profundi,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Hypericibacter,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Komagataeibacter,0,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Komagataeibacter|Komagataeibacter oboediens,0,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Komagataeibacter|Komagataeibacter nataicola,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Acetobacter|Acetobacter ascendens,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Gluconacetobacter|Gluconacetobacter diazotrophicus,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter|Caulobacter sp. K31,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter|Caulobacter sp. FWC26,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Ehrlichia|Ehrlichia ruminantium,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Ehrlichia|Ehrlichia sp. HF,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|NA|NA|Rickettsiales bacterium Ac37b,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Rickettsiaceae|Rickettsia|Rickettsia australis,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Holosporales|Holosporaceae|NA|endosymbiont of Acanthamoeba sp. UWC8,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|NA|NA|Phreatobacter|Phreatobacter sp. NMCR1094,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Parvularculales|Parvularculaceae|Parvularcula|Parvularcula bermudensis,0,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Emcibacterales|Emcibacteraceae|Emcibacter|Emcibacter sp. MEBiC09520,0,1,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria,0,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales,0,2,3
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Cystobacter|Cystobacter fuscus,0,1,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Stigmatella|Stigmatella aurantiaca,0,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Melittangium|Melittangium boletus,0,0,1
